Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C8",Capacitor 1206,4,.1uF,
C10,1206,1,160p,
"C11, C9",1206,2,51p,
"C4, C5",Capacitor 1206,2,.47uF,
"C6, C7",Capacitor 1206,2,.2uF,
D1,D_SOD-123,1,1N4148,
"D2, D3, D4, D5, D6, D7",D_SOD-123,6,1N914,
"D8, D9",D_SOD-123,2,IN4744,
"EC1, EC2",CP_Elec_6.3x7.7,2,100uF,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
"H5, H6, H7, H8",MountingHole_2.1mm,4,MountingHole_Pad,
J1,BNC,1,RF_OUT,
J2,BNC,1,RF_IN,
J5,PowerConnectorPads,1,24V Input,
J6,TwoPads,1,PTT,
J7,PinPad,1,Conn_01x02,
J8,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
K1,RELAY_8-1393792-8,1,G5V-2,
L1,BN-43-202-Vertical-SMD,1,BN-43-202 2T,
"L2, L3",L_Toroid_Vertical_L26.7mm_W14.0mm_P10.16mm_Pulse_D,2,T68-6/8T,
Q1,SOT-23,1,2N3906-SMD,
"Q2, Q3",TO-220-Horizontal,2,IRFZ24N,
"R1, R2, R3",Resistor 1206,3,10k,
"R4, R5",LargeResistorSurfaceMount,2,100,
R6,LargeResistorSurfaceMount,1,Varies According to Band,
R7,Resistor 1206,1,180,
"R8, R9",2512,2,.17,
T1,BN-43-202-Splitter-SMD,1,BN-43-202 1T:2T,
T2,Ferrite-Tube-Splitter-SMD,1,Ferrite 1T:3T,
U1,TO-252-3_TabPin2,1,L7805,
VR1,Trimpot_Horizontal_SMD,1,1.5k,
