Designator,Mid X,Mid Y,Rotation,Layer
C1,205.0,-75.0,0.0,top
C10,140.1826,-127.4064,90.0,top
C11,136.0932,-120.3706,270.0,top
C2,120.9,-70.75,0.0,top
C3,113.75,-63.4,90.0,top
C4,139.996,-67.342,180.0,top
C5,140.25,-95.75,0.0,top
C6,145.174,-50.034,0.0,top
C7,158.732,-113.034,180.0,top
C8,202.5,-98.4,90.0,top
C9,176.6062,-127.0,270.0,top
D1,105.5,-75.5,0.0,top
D2,154.0,-79.15,90.0,top
D3,150.5,-79.15,270.0,top
D4,154.0,-85.15,90.0,top
D5,150.5,-85.15,270.0,top
D6,154.0,-91.0,90.0,top
D7,150.5,-91.0,270.0,top
D8,108.2284,-111.0206,180.0,top
D9,108.2284,-107.6706,180.0,top
EC1,169.2,-108.0,180.0,top
EC2,133.0,-66.8,90.0,top
J1,89.5,-95.5,90.0,top
J2,89.6,-64.9,90.0,top
J5,191.7006,-121.3382,0.0,top
J6,98.1,-83.7,90.0,top
J7,128.5,-56.0,0.0,top
J8,151.0,-68.5,90.0,top
K1,106.934,-63.2036,90.0,top
L1,194.01,-105.0,270.0,top
L2,158.4706,-118.4656,0.0,top
L3,117.6782,-128.905,180.0,top
Q1,103.5,-94.0,0.0,top
Q2,151.998,-64.84282,180.0,top
Q3,152.1632,-98.47918,0.0,top
R1,103.227,-96.623,0.0,top
R2,103.227,-87.623,0.0,top
R3,108.623,-82.473,90.0,top
R4,162.412,-60.158,180.0,top
R5,162.174,-103.5,180.0,top
R6,138.0,-92.0,90.0,top
R7,128.0,-70.5,0.0,top
R8,152.5785,-52.538,0.0,top
R9,151.49,-110.784,180.0,top
T1,125.462,-69.866,0.0,top
T2,186.5,-99.4,180.0,top
U1,111.618,-100.156,90.0,top
VR1,117.5,-67.0,90.0,top
